X,y,q
-13.122363377404328,-18.15612620138058,1.0
-13.12035779332762,-18.15612620138058,1.0
-13.118352209250911,-18.15612620138058,1.0
-13.116346625174204,-18.15612620138058,1.0
-13.114341041097497,-18.15612620138058,1.0
-13.112335457020787,-18.15612620138058,1.0
-13.11032987294408,-18.15612620138058,1.0
-13.108324288867372,-18.15612620138058,1.0
-13.106318704790663,-18.15612620138058,1.0
-13.104313120713956,-18.15612620138058,1.0
-13.102307536637248,-18.15612620138058,1.0
-13.100301952560539,-18.15612620138058,1.0
-13.098296368483831,-18.15612620138058,1.0
-13.096290784407124,-18.15612620138058,1.0
-13.094285200330416,-18.15612620138058,1.0
-13.092279616253707,-18.15612620138058,1.0
-13.090274032177,-18.15612620138058,1.0
-13.088268448100292,-18.15612620138058,1.0
-13.086262864023583,-18.15612620138058,1.0
-13.084257279946875,-18.15612620138058,1.0
-13.082251695870168,-18.15612620138058,1.0
-13.080246111793459,-18.15612620138058,1.0
-13.078240527716751,-18.15612620138058,1.0
-13.076234943640044,-18.15612620138058,1.0
-13.074229359563335,-18.15612620138058,1.0
-13.072223775486627,-18.15612620138058,1.0
-13.07021819140992,-18.15612620138058,1.0
-13.06821260733321,-18.15612620138058,1.0
-13.066207023256503,-18.15612620138058,1.0
-13.064201439179795,-18.15612620138058,1.0
-13.062195855103086,-18.15612620138058,1.0
-13.060190271026379,-18.15612620138058,1.0
-13.058184686949671,-18.15612620138058,1.0
-13.056179102872962,-18.15612620138058,1.0
-13.054173518796254,-18.15612620138058,1.0
-13.052167934719547,-18.15612620138058,1.0
-13.050162350642838,-18.15612620138058,1.0
-13.04815676656613,-18.15612620138058,1.0
-13.046151182489423,-18.15612620138058,1.0
-13.044145598412713,-18.15612620138058,1.0
-13.042140014336006,-18.15612620138058,1.0
-13.040134430259299,-18.15612620138058,1.0
-13.038128846182591,-18.15612620138058,1.0
-13.036123262105882,-18.15612620138058,1.0
-13.034117678029174,-18.15612620138058,1.0
-13.032112093952467,-18.15612620138058,1.0
-13.030106509875758,-18.15612620138058,1.0
-13.02810092579905,-18.15612620138058,1.0
-13.026095341722343,-18.15612620138058,1.0
-13.024089757645633,-18.15612620138058,1.0
-13.022084173568926,-18.15612620138058,1.0
