Complexity,Loss,Equation
1,43.596497,"-15.459173"
3,40.464607,"(f - 12.360864)"
5,29.810871,"(-18.155869 - cond(f, -7.811496))"
7,19.587578,"(-18.155714 - cond(-2.3094318 + f, -12.524151))"
9,8.586721,"(-18.267351 - cond(f - (1.3736327 ^ f), -15.597422))"
11,0.20743743,"(-18.155714 - cond(f - ((1.359113 ^ f) + 0.2762368), -19.090088))"
13,0.19366884,"(-18.155714 - cond(f - ((1.359113 ^ f) + 0.2762368), -18.155714 - 0.62675095))"
15,0.012702505,"(-18.155714 - (cond(f - ((1.359113 ^ f) + 0.2762368), -18.155714 + f) * 1.3045939))"
17,0.012535273,"(-18.155714 - (cond(f - ((1.3591355 ^ f) + 0.2762368), -18.155714 + (0.793097 + f)) / 0.7248581))"
19,0.012006152,"(-18.155714 - (cond(f - ((1.3591355 ^ f) + 0.2762368), -18.26749 + ((1.3591355 ^ f) + 1.3591355)) / 0.7248581))"
21,0.011648032,"(-18.155714 - (cond(f - ((1.3591355 ^ f) + 0.2762368), -18.26749 + ((1.3591355 ^ f) + (1.6308494 * 0.8554992))) / 0.7248581))"
37,0.0113861505,"(-18.155714 - cond(f - ((1.359113 ^ f) + 0.2762368), ((((-18.155714 / 1.0702572) - ((0.31377497 / (f - 0.31377497)) - -0.8895033)) - ((((1.359113 + 1.359113) / f) - -1.1180471) + 0.73667926)) + (1.359113 ^ f)) * 1.0860739))"
39,0.011367884,"(-18.155714 - cond(f - ((1.359113 ^ f) + 0.2762368), ((((-18.155714 / 1.0702572) - ((0.31377497 / (f - 0.31377497)) - -0.8895033)) - (((((1.359113 + 1.359113) * 0.95898676) / f) - -1.1180471) + 0.73667926)) + (1.359113 ^ f)) * 1.0860739))"
41,0.011333824,"(-18.155714 - cond(f - ((1.359113 ^ f) + 0.2762368), ((((-18.155714 / 1.0702572) - ((((-0.68467194 / 1.359113) * -0.5149374) / (f - 0.31377497)) - -0.8895033)) - ((((1.359113 + 1.359113) / f) - -1.1180471) + 0.73667926)) + (1.359113 ^ f)) * 1.0860739))"
