Complexity,Loss,Equation
1,0.9999998,"-2.5966756e-5"
3,0.9999997,"(0.0001776712 * t)"
4,0.99974,"(-6.8377713e-6 / cos(t))"
5,0.99908555,"(-8.540518e-5 / (0.17086583 - t))"
6,0.99183226,"sin(-0.0065533835 / (0.39064366 - t))"
7,0.991123,"sin(0.011377677 / (exp(0.011377677) - t))"
8,0.9831971,"((0.33768448 ^ t) * cos(t / 0.011377677))"
9,0.7199624,"cos(exp(0.5843808) * ((t ^ 0.626354) / -0.013558735))"
11,0.6968744,"(cos(exp(0.5843808) * ((t ^ 0.626354) / -0.013558735)) / 1.3691025)"
13,0.48650798,"(sin(exp(0.5150279) * ((t ^ 0.6332958) / -0.012806808)) / (t ^ t))"
14,0.4512797,"(sin(exp(0.5150262) * ((t ^ 0.6332975) / -0.012808321)) * (cos(t) - -0.8199126))"
15,0.33012527,"(sin(exp(0.5150262) * ((t ^ 0.6332975) / -0.012808321)) / ((0.5150262 * t) ^ t))"
17,0.3221811,"(cos(exp(0.5172338) * (((t ^ 0.63050836) / -0.0127776) - 0.59064263)) / ((t * 0.5172338) ^ t))"
19,0.3152607,"((cos(exp(0.51723355) * (((t ^ 0.63050836) / -0.0127776) - 0.59064263)) / (t ^ t)) * (1.149464 + t))"
20,0.31437773,"(cos(exp(0.5172332) * (((t ^ 0.63050514) / -0.0127783315) - 0.59064263)) / (((exp(t) ^ t) * 0.0106669525) - -0.50351435))"
21,0.31193718,"(cos(exp(0.5172332) * (((t ^ 0.63050514) / -0.0127783315) - 0.59064263)) / ((((t ^ t) ^ t) * 0.020903066) - -0.5035145))"
22,0.30836675,"((cos(exp(0.51723355) * (((t ^ 0.63050836) / -0.012776646) - 0.5843808)) / (0.031015193 - (-0.46771842 * (t ^ 1.4329356)))) * sin(t))"
23,0.30621576,"((cos(exp(0.51723355) * (((t ^ 0.63050836) / -0.012776646) - 0.5843808)) / (0.031015193 - (sin(-0.46771842) * (t ^ 1.4329356)))) * sin(t))"
24,0.29877526,"((cos(exp(0.51723355) * (((t ^ 0.63050693) / -0.012777962) - 0.59064263)) * t) / (((exp(t) ^ t) * 0.0106669525) - (-0.50351435 * t)))"
25,0.29199928,"((cos(exp(0.51723355) * (((t ^ 0.63050836) / -0.0127776) - 0.59064263)) / ((((t ^ t) ^ 2.3594165) * 0.031015193) - (-0.50351435 * t))) * t)"
26,0.28872818,"((cos(exp(0.51723355) * (((t ^ 0.63050836) / -0.0127776) - 0.59064263)) / ((((t ^ t) ^ 2.3594165) * 0.031015193) - (sin(-0.50351435) * t))) * t)"
27,0.27440006,"((cos(exp(0.51723355) * (((t ^ 0.63050836) / -0.0127776) - 0.59064263)) / (((exp(t) ^ t) * 0.031015193) - (-0.50351435 * sin(t ^ 1.4658939)))) * t)"
29,0.2683233,"(((cos(exp(0.51718116) * (((t ^ 0.6304638) / -0.012782875) - 0.6134669)) / (((exp(t) ^ t) * 0.031021455) - (-0.5035143 * sin(t ^ 1.6795315)))) * t) / 1.1347575)"
31,0.26090997,"((cos(exp(0.51723355) * (((t ^ 0.63050836) / -0.0127776) - 0.59064263)) / (((((t ^ t) ^ 2.3594165) * 0.031015193) + 0.074366786) - (((0.074366786 ^ t) - 0.51723355) * t))) * t)"
32,0.25970334,"((cos(exp(0.51723355) * (((t ^ 0.63050836) / -0.0127776) - 0.59064263)) / (((((t ^ t) ^ 2.3594165) * 0.031015193) + 0.074366786) - sin(((0.074366786 ^ t) - 0.51723355) * t))) * t)"
33,0.2528084,"((cos((exp(0.51723355) * (((t ^ 0.63050836) / -0.0127776) - 0.61346763)) + ((-0.0127776 * -0.0127776) ^ t)) * t) / (((exp(t) ^ t) * 0.031015193) - (-0.50351435 * sin(t ^ 1.4452811))))"
35,0.24587587,"(((cos((exp(0.51723075) * (((t ^ 0.6304974) / -0.0127811255) - 0.6134677)) + ((-0.012776496 * -0.012776496) ^ t)) / (((exp(t) ^ t) * 0.031015042) - (-0.50351435 * sin(t ^ 1.6795315)))) * t) / 1.1347574)"
37,0.24488625,"(((cos(((exp(0.51723075) * (((t ^ 0.6304974) / -0.0127811255) - 0.6134677)) + -0.027083885) + ((-0.012776496 * -0.012776496) ^ t)) / (((exp(t) ^ t) * 0.031015042) - (-0.50351435 * sin(t ^ 1.6795315)))) * t) / 1.1347574)"
38,0.24026239,"(((cos((exp(0.51723355) * (((t ^ 0.63050836) / -0.0127776) - 0.61346763)) + (((-0.0127776 * -0.012776646) ^ t) * exp(0.4024651))) * t) / (((exp(t) ^ t) * 0.031015193) - (-0.50351435 * sin(t ^ 1.6795315)))) / 1.1347574)"
39,0.21281691,"((cos((exp(0.51723355) * (((t ^ 0.63050836) / -0.0127776) - (0.61346763 ^ t))) + (((-0.0127776 * -0.0127776) ^ t) * exp(1.4329356))) * t) / (((exp(t) ^ t) * 0.031015193) - (sin(-0.50351435) * sin(t ^ 1.4452811))))"
43,0.21031757,"((cos((exp(0.51723355) * (((t ^ 0.63050836) / -0.0127776) - (0.61346763 ^ t))) + (((-0.0127776 * -0.0127776) ^ t) * (exp(0.61346763 ^ t) + exp(t)))) * t) / (((exp(t) ^ t) * 0.031015193) - (-0.50351435 * sin(t ^ 1.4452811))))"
44,0.20945148,"((cos((exp(0.51723355) * (((t ^ 0.63050836) / -0.0127776) - (0.61346763 ^ t))) + (((-0.0127776 * -0.0127776) ^ t) * (exp(0.61346763 ^ t) + (0.61346763 ^ -0.0127776)))) * t) / (((exp(t) ^ t) * 0.031015193) - (-0.50351435 * sin(t ^ 1.4452811))))"
